,no,0:pixels,1:point-x,2:point-y,3:0x,4:x1,5:y0,6:y1,7:width,8:height,9:inv-oblate,10:S-length,11:L-length1,12:oblate,13:round,14:ellipsity,15:filling-ratio,16:outer-pixels,17:thickness,18:slenderness,19:wrap-count,20:outer-area,21:deg0,22:deg1,23:average,24:min-v,25:max-v,26:contrast1,27:ex-average,28:contrast2,29:contrast3,30:angle-angle,31:angle-centerX,32:angle-centerY,33:angle-radius,34:bestfit-maxdist,35:bestfit-mindist,36:bestfit-meandist,37:bestfit-rmsedist,38:line-angle,39:line-arc-angle,40:line-arc-centerX,41:line-arc-centerY,42:line-arc-radius,43:line-chord-length,44:line-endX,45:line-endY,46:line-endXY,47:line-length,48:line-positionX,49:line-positionXY,50:line-positionY,51:line-startX,52:line-startXY,53:line-startY,54:object-class,55:object-classname,56:object-parent,57:point-intensity,58:point-locationX,59:point-locationXY,60:point-locationY,61:region-area,62:axis-major,63:axis-minor,64:region-centerX,65:region-centerXY,66:region-centerY,67:region-direction,68:region-intensity,69:region-area-percent,70:region-perimeter
0,1,77,282,4,276,289,1,9,14,9,15555,9,14,6428,5002,7781,6111,72,26,14,15,10,79,90,211,205,224,19,202,9,3,90.26950027144798,282,4,244.88445491296815,14,9,11.5,11.224972160321824,31.6075022462489,31.6075022462489,282,4,2.5517548665903327,0,289,9,149.0,15.264337522473747,282.5,143.75,5.0,276,138.5,1,1,1,1,211,282.5,143.75,5.0,77,90,79,282,143.0,4,90,1,1,1
1,2,65,322,3,316,328,1,7,13,7,18571,7,13,5384,4897,9095,7142,64,25,13,16,10,90,90,223,215,243,28,205,18,10,178.56790381583548,322,3,123.16874967458085,13,7,10.0,9.539392014169456,26.56505117707799,26.56505117707799,322,3,2.2559429785441227,0,328,7,167.5,13.416407864998739,322.0,163.0,4.0,316,158.5,1,1,1,1,223,322.0,163.0,4.0,65,90,90,322,162.5,3,90,1,1,1
2,3,65,1021,3,1013,1027,1,9,15,9,20000,8,16,5000,3233,6466,4814,66,24,14,13,9,101,11,220,215,238,23,211,9,4,175.60129464500443,1021,3,118.67306746840087,16,8,12.0,11.313708498984761,29.74488129694222,29.74488129694222,1021,3,2.7885821042456485,0,1027,9,518.0,16.1245154965971,1020.0,512.5,5.0,1013,507.0,1,1,1,1,220,1020.0,512.5,5.0,65,11,101,1021,512.0,3,11,1,1,1
3,4,37,1034,2,1027,1041,1,4,15,4,37500,4,15,2666,2094,8412,6166,46,21,11,12,8,90,90,226,215,252,37,213,13,2,175.60129464500443,1034,2,23.006400801734216,15,4,9.5,7.745966692414834,12.094757077012101,12.094757077012101,1034,2,2.391862950190999,0,1041,4,522.5,14.317821063276353,1034.0,518.25,2.5,1027,514.0,1,1,1,1,226,1034.0,518.25,2.5,37,90,90,1034,518.0,2,90,1,1,1
4,5,45,1159,2,1154,1167,1,5,14,5,28000,5,14,3571,2923,8815,6428,40,27,7,10,11,79,90,213,205,227,22,203,10,2,179.4093427853536,1159,2,37.000859083703695,14,5,9.5,8.366600265340756,17.102728969052375,17.102728969052375,1159,2,2.2738372098183857,0,1167,5,586.0,13.601470508735444,1160.5,581.75,3.0,1154,577.5,1,1,1,1,213,1160.5,581.75,3.0,45,90,79,1159,580.5,2,90,1,1,1
5,6,53,1256,3,1251,1261,1,7,11,7,15714,7,11,6363,5577,8764,6883,50,26,10,13,10,90,90,220,205,236,31,201,19,4,179.4093427853536,1256,3,18.834192417037034,11,7,9.0,8.774964387392123,30.96375653207352,30.96375653207352,1256,3,1.9647148407612256,0,1261,7,634.0,11.661903789690601,1256.0,630.0,4.0,1251,626.0,1,1,1,1,220,1256.0,630.0,4.0,53,90,90,1256,629.5,3,90,1,1,1
6,7,36,1272,3,1268,1276,1,7,9,7,12857,7,9,7777,5659,8185,5714,38,23,8,11,9,79,90,223,215,238,23,211,12,4,179.26547896574556,1272,3,15.667734998837595,9,7,8.0,7.937253933193772,36.86989764584402,36.86989764584402,1272,3,1.6881650340819931,0,1276,7,641.5,10.0,1272.0,638.0,4.0,1268,634.5,1,1,1,1,223,1272.0,638.0,4.0,36,90,79,1272,637.5,3,90,1,1,1
7,8,43,1350,2,1345,1356,1,6,12,6,20000,6,12,5000,3802,8295,5972,38,27,7,10,11,68,90,223,215,241,26,211,12,4,178.99898888968653,1350,2,48.834789260307254,12,6,9.0,8.48528137423857,24.443954780416536,24.443954780416536,1350,2,2.05168701075346,0,1356,6,681.0,12.083045973594572,1350.5,677.0,3.5,1345,673.0,1,1,1,1,223,1350.5,677.0,3.5,43,90,68,1350,676.0,2,90,1,1,1
8,9,77,1565,3,1558,1573,1,9,16,9,17777,9,16,5625,3830,6808,5347,70,27,13,14,11,68,90,203,195,222,27,193,10,2,179.53729226804825,1565,3,84.50067298209407,16,9,12.5,12.0,28.072486935852957,28.072486935852957,1565,3,2.880018314880086,0,1573,9,791.0,17.0,1565.5,785.25,5.0,1558,779.5,1,1,1,1,203,1565.5,785.25,5.0,77,90,68,1565,784.0,3,90,1,1,1
9,10,35,1857,2,1851,1862,1,5,12,5,24000,5,12,4166,3095,8102,5833,34,25,7,10,10,90,90,212,205,233,28,205,7,0,0.19621765589164844,1857,2,348.6669520539578,12,5,8.5,7.745966692414834,19.98310652189998,19.98310652189998,1857,2,1.9856190708572534,0,1862,5,933.5,11.704699910719626,1856.5,929.75,3.0,1851,926.0,1,1,1,1,212,1856.5,929.75,3.0,35,90,90,1857,929.5,2,90,1,1,1
10,11,67,57,2,48,65,1,8,18,8,22500,8,18,4444,2633,6273,4652,74,23,16,14,9,90,90,211,205,232,27,203,8,2,0.0,57,2,376.5,18,8,13.0,12.0,22.380135051959574,22.380135051959574,57,2,3.1758975230229027,0,65,8,36.5,18.384776310850235,56.5,30.5,4.5,48,24.5,1,1,1,1,211,56.5,30.5,4.5,67,90,90,57,29.5,2,90,1,1,1
11,12,32,516,2,511,520,1,4,10,4,25000,4,10,4000,4074,10186,8000,32,25,6,11,10,90,90,222,215,235,20,207,15,8,179.8659227575748,516,2,290.1672516892667,10,4,7.0,6.324555320336759,18.43494882292201,18.43494882292201,516,2,1.5951925780987273,0,520,4,262.0,9.486832980505138,515.5,259.0,2.5,511,256.0,1,1,1,1,222,515.5,259.0,2.5,32,90,90,516,259.0,2,90,1,1,1
12,13,37,1798,5,1795,1802,1,11,8,11,15714,7,11,6363,3893,6118,4204,54,18,15,15,6,11,56,211,205,229,24,197,14,8,0.06368934231538788,1798,5,485.0007897727275,11,7,9.0,8.774964387392123,55.00797980144134,55.00797980144134,1798,5,2.0351837584879964,0,1802,11,906.5,12.206555615733702,1798.5,902.25,6.0,1795,898.0,1,1,1,1,211,1798.5,902.25,6.0,37,56,11,1798,901.5,5,56,1,1,1
13,14,32,170,3,165,174,1,5,10,5,20000,5,10,5000,4074,9054,6400,30,26,6,10,10,68,90,222,215,238,23,209,13,6,0.2335656384676967,170,3,334.16775558387127,10,5,7.5,7.0710678118654755,23.962488974578186,23.962488974578186,170,3,1.6428834603556808,0,174,5,89.5,9.848857801796104,169.5,86.25,3.0,165,83.0,1,1,1,1,222,169.5,86.25,3.0,32,90,68,170,86.5,3,90,1,1,1
14,15,83,547,5,541,554,1,12,14,12,12727,11,14,7857,5392,8006,4940,58,33,9,11,14,101,90,209,205,220,15,202,7,3,179.65277171170877,547,5,283.5009471076523,14,11,12.5,12.409673645990857,40.23635830927382,40.23635830927382,547,5,2.851766247923274,0,554,12,283.0,17.029386365926403,547.5,277.0,6.5,541,271.0,1,1,1,1,209,547.5,277.0,6.5,83,90,101,547,276.0,5,90,1,1,1
15,16,60,1871,4,1865,1876,1,9,12,9,13333,9,12,7500,5305,8488,5555,54,27,10,12,11,56,90,211,205,224,19,201,10,4,0.07590332221954782,1871,4,513.3334437302448,12,9,10.5,10.392304845413264,36.02737338510361,36.02737338510361,1871,4,2.296545290727474,0,1876,9,942.5,13.601470508735444,1870.5,937.75,5.0,1865,933.0,1,1,1,1,211,1870.5,937.75,5.0,60,90,56,1871,937.5,4,90,1,1,1
16,17,45,115,3,108,120,1,7,13,7,21666,6,13,4615,3390,7346,4945,54,21,13,14,8,68,90,222,215,235,20,210,12,5,2.2579814701331746,115,3,296.83671279073525,13,6,9.5,8.831760866327848,26.56505117707799,26.56505117707799,115,3,2.2805390211188943,0,120,7,63.5,13.416407864998739,114.0,59.0,4.0,108,54.5,1,1,1,1,222,114.0,59.0,4.0,45,90,68,115,59.0,3,90,1,1,1
17,18,41,140,4,133,148,1,7,16,7,26666,6,16,3750,2039,5438,3660,64,17,19,14,6,101,90,221,215,234,19,208,13,7,177.7965980780122,140,4,113.67012550682675,16,6,11.0,9.797958971132712,21.80140948635181,21.80140948635181,140,4,2.6932961418635735,0,148,7,77.5,16.15549442140351,140.5,72.25,4.0,133,67.0,1,1,1,1,221,140.5,72.25,4.0,41,90,101,140,72.0,4,90,1,1,1
18,19,72,797,5,789,807,1,12,19,12,19000,10,19,5263,2539,4825,3157,80,23,17,13,9,101,90,220,215,229,14,209,11,6,179.73513111691534,797,5,217.00064363371789,19,10,14.5,13.784048752090222,31.429565614838516,31.429565614838516,797,5,3.5251379209554767,0,807,12,409.5,21.095023109728988,798.0,402.25,6.5,789,395.0,1,1,1,1,220,798.0,402.25,6.5,72,90,101,797,401.0,5,90,1,1,1
19,20,31,1442,3,1439,1446,1,9,8,9,12857,7,9,7777,4873,6265,4305,46,18,13,14,6,146,56,210,205,222,17,198,12,7,179.34488546025676,1442,3,147.50190565940048,9,7,8.0,7.937253933193772,48.81407483429036,48.81407483429036,1442,3,1.8027756377319946,0,1446,9,727.5,10.63014581273465,1442.5,723.75,5.0,1439,720.0,1,1,1,1,210,1442.5,723.75,5.0,31,56,146,1442,722.5,3,56,1,1,1
20,21,101,1682,5,1672,1694,1,14,23,14,16428,14,23,6086,2431,4287,3136,130,20,33,17,7,56,90,209,205,232,27,203,6,2,0.23822435535710065,1682,5,119.83541808930151,23,14,18.5,17.944358444926362,30.579226872489016,30.579226872489016,1682,5,4.2950549357115015,0,1694,14,854.0,25.553864678361276,1683.0,845.25,7.5,1672,836.5,1,1,1,1,209,1683.0,845.25,7.5,101,90,56,1682,843.5,5,90,1,1,1
21,22,76,1203,3,1194,1214,1,7,21,7,30000,7,21,3333,2194,6583,5170,94,21,22,16,8,90,90,222,215,238,23,207,15,8,179.64674927679815,1203,3,247.3343608991546,21,7,14.0,12.12435565298214,16.69924423399362,16.69924423399362,1203,3,3.487374061335419,0,1214,7,610.5,20.8806130178211,1204.0,604.0,4.0,1194,597.5,1,1,1,1,222,1204.0,604.0,4.0,76,90,90,1203,603.0,3,90,1,1,1
22,23,61,198,5,194,205,1,12,12,12,18750,8,15,5333,3452,6472,4236,58,26,11,12,10,34,124,210,205,222,17,200,10,5,0.42298296540199337,198,5,445.6710426498233,15,8,11.5,10.954451150103322,45.0,45.0,198,5,2.5927248643506746,0,205,12,108.5,15.556349186104045,199.5,103.0,6.5,194,97.5,1,1,1,1,210,199.5,103.0,6.5,61,124,34,198,101.5,5,124,1,1,1
23,24,49,1867,14,1865,1871,7,22,7,16,32000,5,16,3125,2437,7799,4375,58,21,14,13,8,169,68,211,205,221,16,199,12,6,0.15368892906130363,1867,14,585.6718401510783,16,5,10.5,8.94427190999916,68.19859051364818,68.19859051364818,1867,14,2.7040636332132792,0,1871,22,946.5,16.15549442140351,1868.0,941.25,14.5,1865,936.0,7,1,1,1,211,1868.0,941.25,14.5,49,68,169,1867,940.5,14,68,1,1,1
24,25,31,22,9,19,26,7,13,8,7,12857,7,9,7777,4873,7048,5535,42,19,11,13,7,56,146,220,215,230,15,208,12,7,1.9042187796461427,22,9,329.344638254989,9,7,8.0,7.937253933193772,40.60129464500447,40.60129464500447,22,9,1.5437342541593948,0,26,13,19.5,9.219544457292887,22.5,16.25,10.0,19,13.0,7,1,1,1,220,22.5,16.25,10.0,31,146,56,22,15.5,9,146,1,1,1
25,26,33,153,5,149,157,1,9,9,9,30000,4,12,3333,2918,8754,4074,42,20,11,13,7,34,124,219,215,228,13,210,9,5,0.958709542125403,153,5,46.01247448701664,12,4,8.0,6.928203230275509,45.0,45.0,153,5,1.885618083164127,0,157,9,83.0,11.313708498984761,153.0,79.0,5.0,149,75.0,1,1,1,1,219,153.0,79.0,5.0,33,124,34,153,79.0,5,124,1,1,1
26,27,138,8,7,1,18,1,14,18,14,13571,14,19,7368,4867,6973,5476,102,32,16,15,13,90,11,222,215,240,25,212,10,3,0.7902365024292379,8,7,86.66896540791288,19,14,16.5,16.30950643030009,37.40535663140855,37.40535663140855,8,7,3.571016678837765,0,18,14,16.0,21.400934559032695,9.5,8.5,7.5,1,1.0,1,1,1,1,222,9.5,8.5,7.5,138,11,90,8,7.5,7,11,1,1,1
27,28,87,383,7,376,390,1,13,15,13,13333,12,16,7500,4327,6154,4461,84,25,17,15,10,79,124,221,215,235,20,211,10,4,179.95682308313715,383,7,283.66672946494964,16,12,14.0,13.856406460551018,40.60129464500447,40.60129464500447,383,7,3.073181485764296,0,390,13,201.5,18.439088914585774,383.0,195.0,7.0,376,188.5,1,1,1,1,221,383.0,195.0,7.0,87,124,79,383,195.0,7,124,1,1,1
28,29,38,1710,6,1707,1715,1,11,9,11,20000,6,12,5000,3360,7331,3838,60,17,18,16,6,146,34,201,195,221,26,186,15,9,0.022303945504084256,1710,6,367.0001580363471,12,6,9.0,8.48528137423857,51.34019174590991,51.34019174590991,1710,6,2.1503366177851295,0,1715,11,863.0,12.806248474865697,1711.0,858.5,6.0,1707,854.0,1,1,1,1,201,1711.0,858.5,6.0,38,34,146,1710,858.0,6,34,1,1,1
29,30,65,835,7,826,843,2,15,18,14,15000,12,18,6666,2554,4598,2579,98,18,27,16,6,124,90,221,215,243,28,206,15,9,179.70255368633926,835,7,228.16743666579848,18,12,15.0,14.696938456699069,37.40535663140855,37.40535663140855,835,7,3.6015564399952935,0,843,15,429.0,21.400934559032695,834.5,421.5,8.5,826,414.0,2,1,1,1,221,834.5,421.5,8.5,65,90,124,835,421.0,7,90,1,1,1
30,31,127,341,5,333,351,1,13,19,13,18333,12,22,5454,3341,6738,5141,96,31,15,14,13,56,146,219,215,233,18,212,7,3,2.798511394562436,341,5,110.70701952741207,22,12,17.0,16.24807680927192,33.690067525979785,33.690067525979785,341,5,3.6250867308108092,0,351,13,182.0,21.633307652783937,342.0,174.5,7.0,333,167.0,1,1,1,1,219,342.0,174.5,7.0,127,146,56,341,173.0,5,146,1,1,1
31,32,69,511,14,506,518,11,22,13,12,11818,11,13,8461,5198,6144,4423,64,26,12,13,10,101,90,220,215,232,17,210,10,5,175.8322873194999,511,14,95.55291087390701,13,11,12.0,11.958260743101398,42.510447078000844,42.510447078000844,511,14,2.7435162845966587,0,518,22,270.0,16.278820596099706,512.0,264.25,16.5,506,258.5,11,1,1,1,220,512.0,264.25,16.5,69,90,101,511,262.5,14,90,1,1,1
32,33,97,914,6,905,925,1,17,21,17,12352,17,21,8095,2801,4036,2717,154,17,45,20,6,79,90,221,215,239,24,207,14,8,177.170975597096,914,6,106.69712493954539,21,17,19.0,18.894443627691185,38.65980825409009,38.65980825409009,914,6,4.308663221181841,0,925,17,471.0,25.612496949731394,915.0,462.0,9.0,905,453.0,1,1,1,1,221,915.0,462.0,9.0,97,90,79,914,460.0,6,90,1,1,1
33,34,31,1151,13,1149,1156,11,17,8,7,12857,7,9,7777,4873,7048,5535,46,18,13,14,6,68,34,226,215,255,40,203,23,12,176.15293581094397,1151,13,70.53917113574823,9,7,8.0,7.937253933193772,40.60129464500447,40.60129464500447,1151,13,1.5385918936965064,0,1156,17,586.5,9.219544457292887,1152.5,583.25,14.0,1149,580.0,11,1,1,1,226,1152.5,583.25,14.0,31,34,68,1151,582.0,13,34,1,1,1
34,35,80,1337,6,1330,1345,1,13,16,13,23750,8,19,4210,2822,6701,3846,88,23,19,16,9,124,34,221,215,242,27,207,14,8,1.5236941850179782,1337,6,136.86170922128085,19,8,13.5,12.328828005937952,38.65980825409009,38.65980825409009,1337,6,3.2054118466295463,0,1345,13,679.0,19.209372712298546,1337.5,672.25,7.0,1330,665.5,1,1,1,1,221,1337.5,672.25,7.0,80,34,124,1337,671.5,6,34,1,1,1
35,36,36,702,13,700,707,8,17,8,10,14285,7,10,7000,4584,6548,4500,46,20,12,13,7,124,23,208,205,215,10,199,9,6,0.6315814357727243,702,13,276.0064302508487,10,7,8.5,8.366600265340756,52.1250163489018,52.1250163489018,702,13,1.9647148407612256,0,707,17,362.0,11.40175425099138,703.5,358.0,12.5,700,354.0,8,1,1,1,208,703.5,358.0,12.5,36,23,124,702,357.5,13,23,1,1,1
36,37,37,1723,13,1718,1729,11,16,12,6,20000,6,12,5000,3272,7138,5138,54,18,15,15,6,90,90,199,195,208,13,190,9,5,0.052039749104107885,1723,13,353.6667423554189,12,6,9.0,8.48528137423857,24.443954780416536,24.443954780416536,1723,13,2.0155614566056457,0,1729,16,872.5,12.083045973594572,1723.5,868.5,13.5,1718,864.5,11,1,1,1,199,1723.5,868.5,13.5,37,90,90,1723,868.0,13,90,1,1,1
37,38,53,622,14,618,629,9,19,12,11,21666,6,13,4615,3993,8652,4015,48,27,9,12,11,45,135,221,215,236,21,208,13,7,0.1246167708069339,622,14,345.6675131655088,13,6,9.5,8.831760866327848,42.27368900609374,42.27368900609374,622,14,2.5009082507459124,0,629,19,324.0,14.866068747318506,623.5,318.75,14.0,618,313.5,9,1,1,1,221,623.5,318.75,14.0,53,135,45,622,318.0,14,135,1,1,1
38,39,135,1595,11,1583,1608,1,22,26,22,22307,13,29,4482,2044,4722,2360,174,20,44,20,7,135,23,211,205,238,33,198,13,7,0.02567984821376516,1595,11,415.1683158239364,29,13,21.0,19.4164878389476,40.0302592718897,40.0302592718897,1595,11,5.441647619623285,0,1608,22,815.0,32.64965543462902,1595.5,803.5,11.5,1583,792.0,1,1,1,1,211,1595.5,803.5,11.5,135,23,135,1595,803.0,11,23,1,1,1
39,40,39,77,15,72,81,12,19,10,8,12500,8,10,8000,4966,7759,4875,62,17,18,17,6,45,90,222,216,241,25,204,18,12,0.5573229049895524,77,15,276.50146935629647,10,8,9.0,8.94427190999916,37.874983651098205,37.874983651098205,77,15,1.9146343573896136,0,81,19,50.0,11.40175425099138,76.5,46.0,15.5,72,42.0,12,1,1,1,222,76.5,46.0,15.5,39,90,45,77,46.0,15,90,1,1,1
40,41,43,218,16,212,223,12,21,12,10,16250,8,13,6153,3240,5264,3583,70,17,21,16,6,113,23,222,215,236,21,206,16,9,179.3896098304502,218,16,257.5020748600625,13,8,10.5,10.198039027185569,39.28940686250036,39.28940686250036,218,16,2.3803617271322426,0,223,21,122.0,14.212670403551895,217.5,117.0,16.5,212,112.0,12,1,1,1,222,217.5,117.0,16.5,43,23,113,218,117.0,16,23,1,1,1
41,42,104,1622,11,1614,1629,1,19,16,19,18333,12,22,5454,2736,5255,3421,108,24,23,15,9,34,124,210,205,224,19,197,13,8,0.2609414145715243,1622,11,401.83489993831364,22,12,17.0,16.24807680927192,50.19442890773481,50.19442890773481,1622,11,3.9060657146000577,0,1629,19,824.0,23.430749027719962,1621.5,815.75,10.0,1614,807.5,1,1,1,1,210,1621.5,815.75,10.0,104,124,34,1622,816.5,11,124,1,1,1
42,43,50,615,10,610,623,5,16,14,12,18750,8,15,5333,2829,5305,2976,76,18,21,16,6,45,135,218,215,233,18,207,11,8,0.30045202223339185,615,10,328.16986789349266,15,8,11.5,10.954451150103322,40.23635830927382,40.23635830927382,615,10,2.8451779686442458,0,623,16,319.5,17.029386365926403,616.5,313.5,10.5,610,307.5,5,1,1,1,218,616.5,313.5,10.5,50,135,45,615,312.5,10,135,1,1,1
43,44,55,1577,16,1573,1584,11,20,12,10,15000,8,12,6666,4863,7295,4583,68,21,16,17,8,113,90,210,205,224,19,199,11,6,0.35734950056303666,1577,16,353.6697851394581,12,8,10.0,9.797958971132712,39.28940686250036,39.28940686250036,1577,16,2.4108969976218995,0,1584,20,802.0,14.212670403551895,1578.5,797.0,15.5,1573,792.0,11,1,1,1,210,1578.5,797.0,15.5,55,90,113,1577,796.5,16,90,1,1,1
44,45,38,417,16,413,422,13,20,10,8,12500,8,10,8000,4838,6048,4750,50,20,13,13,7,90,90,231,225,247,22,219,12,6,0.3603460633857586,417,16,219.83385743716528,10,8,9.0,8.94427190999916,37.874983651098205,37.874983651098205,417,16,1.900520706238808,0,422,20,221.0,11.40175425099138,417.5,217.0,16.5,413,213.0,13,1,1,1,231,417.5,217.0,16.5,38,90,90,417,216.5,16,90,1,1,1
45,46,38,576,15,570,584,13,18,15,6,25000,6,15,4000,2150,5376,4222,64,16,20,15,5,90,90,219,215,233,18,209,10,6,179.87788865313058,576,15,186.83524343256067,15,6,10.5,9.486832980505138,19.65382405805331,19.65382405805331,576,15,2.4780931776090482,0,584,18,301.0,14.866068747318506,577.0,296.25,15.5,570,291.5,13,1,1,1,219,577.0,296.25,15.5,38,90,90,576,295.5,15,90,1,1,1
46,47,172,1538,11,1528,1546,1,20,19,20,17857,14,25,5600,3504,6636,4526,118,34,17,15,14,23,124,214,205,236,31,200,14,5,0.163130203310932,1538,11,350.67272277406164,25,14,19.5,18.708286933869708,46.548157698977974,46.548157698977974,1538,11,4.363955033753874,0,1546,20,783.0,26.1725046566048,1537.0,773.75,10.5,1528,764.5,1,1,1,1,214,1537.0,773.75,10.5,172,124,23,1538,774.5,11,124,1,1,1
47,48,63,396,19,388,402,13,24,15,12,15000,10,15,6666,3565,5348,3500,84,20,21,16,7,68,90,220,215,231,16,209,11,6,0.31034728621627017,396,19,244.00881073901496,15,10,12.5,12.24744871391589,38.15722658736906,38.15722658736906,396,19,2.968374945984442,0,402,24,213.0,17.804493814764857,395.0,206.75,18.5,388,200.5,13,1,1,1,220,395.0,206.75,18.5,63,90,68,396,207.5,19,90,1,1,1
48,49,47,718,15,712,722,10,25,11,16,15454,11,17,6470,2071,3886,2670,80,16,25,14,5,0,68,222,215,238,23,205,17,10,179.18257614359558,718,15,144.00429437842206,17,11,14.0,13.674794331177344,56.309932474020215,56.309932474020215,718,15,3.096763215029277,0,722,25,373.5,18.027756377319946,717.0,367.25,17.5,712,361.0,10,1,1,1,222,717.0,367.25,17.5,47,68,0,718,366.5,15,68,1,1,1
49,50,110,1260,16,1254,1266,10,25,13,16,14166,12,17,7058,4846,7781,5288,82,31,13,14,13,169,113,211,205,238,33,200,11,5,0.33995310702154696,1260,16,294.168523872389,17,12,14.5,14.2828568570857,51.34019174590991,51.34019174590991,1260,16,3.2169892001050897,0,1266,25,645.5,19.209372712298546,1260.0,638.75,17.5,1254,632.0,10,1,1,1,211,1260.0,638.75,17.5,110,113,169,1260,638.0,16,113,1,1,1
50,51,38,37,21,32,41,17,24,10,8,15714,7,11,6363,3999,6912,4750,46,21,11,12,8,101,23,221,215,234,19,207,14,8,0.23424145665332674,37,21,259.16837012098233,11,7,9.0,8.774964387392123,37.874983651098205,37.874983651098205,37,21,1.900520706238808,0,41,24,32.5,11.40175425099138,36.5,28.5,20.5,32,24.5,17,1,1,1,221,36.5,28.5,20.5,38,23,101,37,29.0,21,23,1,1,1
51,52,65,369,21,363,375,16,25,13,10,16250,8,13,6153,4897,7958,5000,56,28,10,13,11,113,90,220,215,232,17,209,11,6,179.2856258042414,369,21,122.17186180972102,13,8,10.5,10.198039027185569,36.86989764584402,36.86989764584402,369,21,2.503558704472439,0,375,25,200.0,15.0,369.0,194.75,20.5,363,189.5,16,1,1,1,220,369.0,194.75,20.5,65,90,113,369,195.0,21,90,1,1,1
52,53,86,770,16,761,782,10,24,22,15,18333,12,22,5454,2262,4345,2606,110,20,28,16,7,68,90,210,205,233,28,200,10,5,177.2910565029993,770,16,100.35883741158564,22,12,17.0,16.24807680927192,33.690067525979785,33.690067525979785,770,16,4.206476488041321,0,782,24,403.0,25.238858928247925,771.5,394.25,17.0,761,385.5,10,1,1,1,210,771.5,394.25,17.0,86,90,68,770,393.0,16,90,1,1,1
53,54,52,971,23,967,976,18,28,10,11,13333,9,12,7500,4598,7357,4727,66,20,17,15,7,11,45,232,225,246,21,217,15,8,174.8994036031417,971,23,55.05193941482283,12,9,10.5,10.392304845413264,48.01278750418334,48.01278750418334,971,23,2.245698674883054,0,976,28,502.0,13.45362404707371,971.5,497.25,23.0,967,492.5,18,1,1,1,232,971.5,497.25,23.0,52,45,11,971,497.0,23,45,1,1,1
54,55,48,1100,16,1097,1104,12,22,8,11,13750,8,11,7272,5051,6945,5454,52,23,11,13,9,0,79,220,215,236,21,209,11,6,176.8939729043836,1100,16,114.86496381295821,11,8,9.5,9.38083151964686,55.00797980144134,55.00797980144134,1100,16,2.0351837584879964,0,1104,22,563.0,12.206555615733702,1100.5,558.75,17.0,1097,554.5,12,1,1,1,220,1100.5,558.75,17.0,48,79,0,1100,558.0,16,79,1,1,1
55,56,45,1660,16,1657,1665,12,22,9,11,13750,8,11,7272,4735,6511,4545,70,17,21,18,6,169,56,219,215,236,21,208,11,7,0.33931114035653576,1660,16,290.3367878997726,11,8,9.5,9.38083151964686,51.34019174590991,51.34019174590991,1660,16,2.135041612651109,0,1665,22,843.5,12.806248474865697,1661.0,839.0,17.0,1657,834.5,12,1,1,1,219,1661.0,839.0,17.0,45,56,169,1660,838.0,16,56,1,1,1
56,57,44,478,23,475,483,19,28,9,10,13750,8,11,7272,4630,7781,4888,46,24,10,12,9,23,113,212,205,225,20,200,12,5,0.6505822270238566,478,23,351.35982433746267,11,8,9.5,9.38083151964686,48.366460663429805,48.366460663429805,478,23,2.0118446353109127,0,483,28,255.5,12.041594578792296,479.0,251.25,23.5,475,247.0,19,1,1,1,212,479.0,251.25,23.5,44,113,23,478,250.5,23,113,1,1,1
57,58,201,1404,7,1391,1418,1,22,28,22,15238,21,32,6562,2499,4155,3262,250,21,60,23,8,68,135,211,205,242,37,201,10,4,175.32662024345765,1404,7,193.2700920008201,32,21,26.5,25.92296279363144,37.874983651098205,37.874983651098205,1404,7,5.806017598659924,0,1418,22,720.0,34.20526275297414,1404.5,708.0,11.5,1391,696.0,1,1,1,1,211,1404.5,708.0,11.5,201,135,68,1404,705.5,7,135,1,1,1
58,59,39,1637,22,1631,1642,18,26,12,9,15000,8,12,6666,3448,5643,3611,56,18,16,14,6,68,90,213,205,239,34,196,17,9,173.86248193631246,1637,22,73.94585034100346,12,8,10.0,9.797958971132712,36.02737338510361,36.02737338510361,1637,22,2.269037798060138,0,1642,26,834.0,13.601470508735444,1636.5,829.25,22.0,1631,824.5,18,1,1,1,213,1636.5,829.25,22.0,39,90,68,1637,829.5,22,90,1,1,1
59,60,131,1847,13,1838,1857,4,24,20,21,16666,15,25,6000,2669,4448,3119,180,19,47,22,7,45,124,210,205,230,25,199,11,6,2.247312982147269,1847,13,312.20059874073394,25,15,20.0,19.364916731037084,46.46880071438583,46.46880071438583,1847,13,4.598998468112726,0,1857,24,940.5,27.586228448267445,1847.5,930.75,14.0,1838,921.0,4,1,1,1,210,1847.5,930.75,14.0,131,124,45,1847,930.0,13,124,1,1,1
60,61,50,184,19,177,192,12,25,16,14,21250,8,17,4705,2203,4681,2232,86,16,27,17,5,45,124,218,215,227,12,209,9,6,4.605424047375248,184,19,285.8607405031308,17,8,12.5,11.661903789690601,40.91438322002513,40.91438322002513,184,19,3.316582489435278,0,192,25,108.5,19.849433241279208,184.5,101.5,18.5,177,94.5,12,1,1,1,218,184.5,101.5,18.5,50,124,45,184,101.5,19,124,1,1,1
